b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar,Npl (kN),eta_u,r,b/h,L/h,axial_flag,section_family
164.885,164.885,82.4425,2.92,0.0,389.3,61.4,595.0,0.0,0.0,1904.0,0.5,56.467465753424655,19866.891607000383,2263.6188819150816,79.5225,4.408187325410765,1.0,0.7224194301464468,21.580148081139438,14.694859402893645,0.2106772470980001,0.0,0.0,0.0,2101.053975399365,0.9062118452421437,-0.09378815475785629,1.0,3.6085756739545745,axial,circular
164.885,164.885,82.4425,2.92,0.0,389.3,61.4,595.0,0.0,0.0,1984.0,0.5,56.467465753424655,19866.891607000383,2263.6188819150816,79.5225,4.408187325410765,1.0,0.7224194301464468,21.580148081139438,14.694859402893645,0.2106772470980001,0.0,0.0,0.0,2101.053975399365,0.9442879731934942,-0.05571202680650578,1.0,3.6085756739545745,axial,circular
151.0,151.0,75.5,3.2,0.0,265.0,25.4,620.0,0.0,0.0,1129.0,0.5,47.1875,16422.01586218339,2256.8723385581716,72.3,4.808201750642567,1.0,1.4338135611130658,17.62342273748659,16.773680131712958,0.18613829825985936,0.0,0.0,0.0,1015.1903726173736,1.1121066850636117,0.11210668506361166,1.0,4.105960264900662,axial,circular
150.0,150.0,75.0,3.2,0.0,265.0,25.4,620.0,0.0,0.0,1123.0,0.5,46.875,16195.664111492244,2241.325435049659,71.8,4.807284536990949,1.0,1.4438374948370356,17.742763263267427,16.88765028015445,0.18731121686197552,0.0,0.0,0.0,1005.3211087200626,1.1170560234528069,0.11705602345280686,1.0,4.133333333333334,axial,circular
199.0,199.0,99.5,3.2,0.0,265.0,25.4,835.0,0.0,0.0,1535.0,0.5,62.1875,29134.156375669125,3003.1237069667804,96.3,4.8415540980088,1.0,1.075431944916067,13.323072024634808,17.060821226097794,0.19330100771600728,0.0,0.0,0.0,1535.8353542881925,0.9994560912497162,-0.0005439087502837614,1.0,4.1959798994974875,axial,circular
198.0,198.0,99.0,3.2,0.0,265.0,25.4,835.0,0.0,0.0,1560.0,0.5,61.875,28832.406401291828,2987.576803458267,95.8,4.841021617798248,1.0,1.0810613611191588,13.391134955287429,17.148301816317016,0.19421738584925946,0.0,0.0,0.0,1524.0509755092532,1.0235878097704276,0.023587809770427626,1.0,4.217171717171717,axial,circular
251.0,251.0,125.5,3.2,0.0,265.0,25.4,1050.0,0.0,0.0,2033.0,0.5,78.4375,46989.71238161207,3811.5626894094385,122.3,4.863469934758783,1.0,0.8462768047269793,10.538180970654762,16.954860199869426,0.19555506366163844,0.0,0.0,0.0,2203.602807186448,0.9225800554301012,-0.07741994456989876,1.0,4.183266932270916,axial,circular
300.0,300.0,150.0,3.2,0.0,265.0,25.4,1250.0,0.0,0.0,2012.0,0.5,93.75,67702.07566709691,4573.360961326557,146.8,4.877242878017967,1.0,0.7047671513143143,8.804287211680935,16.85302698644644,0.19704917523981072,0.0,0.0,0.0,2931.573376695799,0.6863208732874161,-0.3136791267125839,1.0,4.166666666666667,axial,circular
350.0,350.0,175.0,3.2,0.0,265.0,25.4,1468.0,0.0,0.0,3000.0,0.5,109.375,92724.86115293961,5350.706136752187,171.8,4.887358521747387,1.0,0.6020423823181454,7.5387078478641305,16.938908885546134,0.20036199761594983,0.0,0.0,0.0,3773.1485995239955,0.7950919294242658,-0.20490807057573424,1.0,4.194285714285714,axial,circular
401.0,401.0,200.5,3.2,0.0,265.0,25.4,1680.0,0.0,0.0,3680.0,0.5,125.3125,122293.68828815942,6143.598215686337,197.3,4.895098973229437,1.0,0.5241202261095216,6.574765473420176,16.899783771246472,0.20190374521001522,0.0,0.0,0.0,4734.313209676129,0.7773038742934683,-0.22269612570653174,1.0,4.1895261845386536,axial,circular
