group_id,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,Ref.No.,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),fc_values_in_group,type_values_in_group
1152,high,2,250.0,450.0,200.0,350.0,0.571429,1.8,"Bias compression bearing capacity research of thin-walled square steel tube composite columns filled with demolished concrete lump, Unknown, Unknown, 2006",215,18.796,35,160,160,2.5,0,1400,50,50,18.796,prism
1494,high,5,3118.0,5239.0,2121.0,4013.8,0.528427,1.680244,"Axial performance of short concrete filled steel tubes with high- and ultra-high- strength materials, Ming-Xiang Xiong; De-Xin Xiong; J.Y. Richard Liew, Engineering Structures, 2017",380,49.309,0,219.1,219.1,5,109.55,600,0,0,51.6,Cylinder 100x200
2552,high,4,910.0,1530.0,620.0,1287.5,0.481553,1.681319,"刘夏平，唐述，唐春会等，脱空钢管混凝土偏心受压力学性能试验研究[J].铁道建筑,2011",330,47.666,0,168,168,6,84,500,4,4,56,Cube 150x150x150mm
2551,high,4,870.0,1420.0,550.0,1192.5,0.461216,1.632184,"刘夏平，唐述，唐春会等，脱空钢管混凝土偏心受压力学性能试验研究[J].铁道建筑,2011",330,47.666,0,168,168,6,84,500,4,-4,56,Cube 150x150x150mm
2235,medium,2,982.0,1511.0,529.0,1246.5,0.424388,1.538697,"Confinement of six different concretes in CFST columns having different shapes and slenderness, Khandaker M. A. Hossain; Katie Chu, Unknown, 2019",333,63.07,0,114,114,4.8,57,1000,0,0,66,Cylinder 100x200
1694,medium,4,1372.0,2038.4,666.4,1653.75,0.402963,1.485714,"Researches on Behavior of High-Performance Concrete Filled Tubular Steel Short Columns, Z. W. Yu; F. X. Ding; S. Lin, Journal of Building Structures, 2002",338,71.206,0,165,165,1,82.5,500,0,0,84.4,Cube 100x100x100mm
4414,medium,4,1372.0,2038.0,666.0,1653.25,0.402843,1.485423,"Yu Z, Ding F, Lin S. Researches on behavior of high-performance concrete filled tubular steel short columns. Journal of Building Structure 2002;23(2):
41 7 [in Chinese].",338,78.08989125,0,165,165,1,82.5,500,0,0,91.8,fcu100
3772,medium,6,1307.0,1854.0,547.0,1553.3333,0.352146,1.418516,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",322.8,34.4,0,200,200,3.9,0,3810,0,0,34.4,"fck,150"
1151,medium,2,345.0,485.0,140.0,415.0,0.337349,1.405797,"Bias compression bearing capacity research of thin-walled square steel tube composite columns filled with demolished concrete lump, Unknown, Unknown, 2006",215,19.089,25,160,160,2.5,0,1400,25,25,19.089,prism
3377,medium,5,1210.0,1684.0,474.0,1464.2,0.323726,1.391736,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",291.5,34.4,0,219,219,3.8,109.5,3810,0,0,34.4,"fck,150"
1497,medium,5,5241.0,7160.0,1919.0,6192.8,0.309876,1.366151,"Axial performance of short concrete filled steel tubes with high- and ultra-high- strength materials, Ming-Xiang Xiong; De-Xin Xiong; J.Y. Richard Liew, Engineering Structures, 2017",381,49.309,0,219.1,219.1,10,109.55,600,0,0,51.6,Cylinder 100x200
3771,high,2,13611.0,16636.0,3025.0,15123.5,0.20002,1.222247,"建筑结构学报 Journal of Building Structures | 钢管高强再生混凝土柱轴压性能试验研究 | 牛海成, 曹万林, 董宏英... | 2015",360.4,63.2,100,450,450,7.8,0,1500,0,0,72.36,"fcu,150"
2111,medium,4,15402.0,18228.0,2826.0,16829.5,0.167919,1.183483,"大尺寸钢管混凝土柱承载力试验, 陈彦江; 李勇; 闫维明; 潘迪, Unknown, 2011",342,31.065,0,500,500,10,250,1500,0,0,38,cube
