group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
936,Y,high,2,563.0,3095.0,2532.0,1829.0,1.384363,5.497336,38,cylinder,1287,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",38,cylinder,NS7,300,38,0,246,246,3,0,720,0,0,3095
936,Y,high,2,563.0,3095.0,2532.0,1829.0,1.384363,5.497336,38,cylinder,1291,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",38,cylinder,NS11,300,38,0,246,246,3,0,720,0,0,563
928,Y,high,2,490.0,1708.0,1218.0,1099.0,1.10828,3.485714,50,cylinder,1277,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",50,cylinder,HS7,300,50,0,156,156,3,0,450,0,0,1708
928,Y,high,2,490.0,1708.0,1218.0,1099.0,1.10828,3.485714,50,cylinder,1281,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",50,cylinder,HS11,300,50,0,156,156,3,0,450,0,0,490
940,Y,high,5,622.0,4581.0,3959.0,3590.2,1.102724,7.364952,38,cylinder,1295,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",38,cylinder,NS16,300,38,0,306,306,3,0,900,0,0,4581
940,Y,high,5,622.0,4581.0,3959.0,3590.2,1.102724,7.364952,38,cylinder,1294,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",38,cylinder,NS15,300,38,0,306,306,3,0,900,0,0,4495
940,Y,high,5,622.0,4581.0,3959.0,3590.2,1.102724,7.364952,38,cylinder,1293,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",38,cylinder,NS14,300,38,0,306,306,3,0,900,0,0,4253
940,Y,high,5,622.0,4581.0,3959.0,3590.2,1.102724,7.364952,38,cylinder,1292,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",38,cylinder,NS13,300,38,0,306,306,3,0,900,0,0,4000
940,Y,high,5,622.0,4581.0,3959.0,3590.2,1.102724,7.364952,38,cylinder,1296,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",38,cylinder,NS17,300,38,0,306,306,3,0,900,0,0,622
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3243,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-20,433,40.482,0,133,133,4.5,66.5,399,0,0,1608
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3245,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-300,433,40.482,0,133,133,4.5,66.5,399,0,0,1337
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3244,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-200,433,40.482,0,133,133,4.5,66.5,399,0,0,1232
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3247,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-500,433,40.482,0,133,133,4.5,66.5,399,0,0,1062
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3246,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-400,433,40.482,0,133,133,4.5,66.5,399,0,0,1013
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3248,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-600,433,40.482,0,133,133,4.5,66.5,399,0,0,791
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3249,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-700,433,40.482,0,133,133,4.5,66.5,399,0,0,734
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3251,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-900,433,40.482,0,133,133,4.5,66.5,399,0,0,616
2279,Y,high,9,548.0,1608.0,1060.0,993.4444,1.066995,2.934307,48.29,cube,3250,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",48.29,cube,A-800,433,40.482,0,133,133,4.5,66.5,399,0,0,548
932,Y,high,2,517.0,1555.0,1038.0,1036.0,1.001931,3.007737,32,cylinder,1282,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",32,cylinder,NS1,300,32,0,186,186,3,0,540,0,0,1555
