title,row_count,first_pass_action,matched_rule_names,matched_rule_descriptions,manual_override,final_action,final_reason
"Structures | High-strength square concrete-filled steel tube (HS-SCFT) beam-columns under cyclic loading: Experimental database, modeling, and analysis | Wenbing Han, Ying Wang | 2025",55,drop_candidate,load_history_or_rate,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Yu, Z., Ding, F., & Lin, S. (2003). Mechanical properties of axially compressed short columns of high-performance concrete-filled steel tubes after exposure to high temperatures. Journal of the China Railway Society, 25(4), 71-79.",54,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Experimental Performance of Recycled Aggregate Concrete-filled Square Steel Tubular (RACSST) Stub Columns After Exposure to High Temperature and Water Spraying Cooling, Zhanjing Wu; Xiaojun Ke; Yisheng Su, Unknown, 2021",36,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Behaviour of concrete-filled steel tubular stub columns subjected to axially local compression, Lin-Hai Han; Wei Liu; You-Fu Yang, Journal of Constructional Steel Research, 2008",32,drop_candidate,local_or_partial_loading,Local or partial loading configuration rather than the usual full-section axial/eccentric compression setup.,,drop,Local or partial loading configuration rather than the usual full-section axial/eccentric compression setup.
"CFST columns strengthened with CFRP textile grid-reinforced engineered cementitious composites under eccentric compression, Yuhong Yan; Shan Li; Yiyan Lu; Aohan Zheng, Composite Structures, 2022",32,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Behaviour of concrete-filled steel-tube columns strengthened with high-strength CFRP textile grid-reinforced high-ductility engineered cementitious composites, Yuhong Yan; Hongjun Liang; Yiyan Lu; Yue Huang, Unknown, 2020",30,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Engineering Structures | Assessment model of cyclic compression behaviors for FRP wrapped high-strength concrete-filled steel tubes after seawater exposure | Jie Liu, Tong Guo, Libin Wang, Yirui Zhang, Jianhui Li | 2025",30,drop_candidate,environmental_exposure|strengthening_or_repair|load_history_or_rate,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain. | External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features. | Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain. | External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features. | Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Engineering Structures | Performance of circular CFST columns strengthened with CFRP grid-reinforced ECC under axial compression: Numerical modelling and design | Wenyan Zeng, Pouria Ayough, Xu-Hong Zhou... | 2025",30,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",30,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Xu Zh. Corrosion Damage Assessment And Residual Capacity Prediction For Concrete-Filled Steel Tubular Members Through Machine Learning [D]. Hunan University, 2016.",30,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression, You-Fu Yang; Lin-Hai Han, Unknown, 2010",28,drop_candidate,local_or_partial_loading,Local or partial loading configuration rather than the usual full-section axial/eccentric compression setup.,,drop,Local or partial loading configuration rather than the usual full-section axial/eccentric compression setup.
"Behaviour of fire-exposed concrete-filled steel tubular beam columns repaired with CFRP wraps, Zhong Tao; Lin-Hai Han, Unknown, 2007",28,drop_candidate,environmental_exposure|strengthening_or_repair,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain. | External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain. | External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Han LH, Yao GH. Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes. Journal of Constructional Steel Research, 2003; 59(12): 1455-1475.",27,drop_candidate,load_history_or_rate,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",26,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Thin-Walled Structures | Behaviour of concrete filled steel tubular (CFST) stub columns under eccentric partial compression | You-Fu Yang, Lin-Hai Han | 2011",26,drop_candidate,local_or_partial_loading,Local or partial loading configuration rather than the usual full-section axial/eccentric compression setup.,,drop,Local or partial loading configuration rather than the usual full-section axial/eccentric compression setup.
"Composite Structures | Axial compression behavior and performance assessment of circular concrete-filled steel tube columns with multiple local corrosions | Siqi Lin, Jing Li, Yingdong Wang... | 2026",25,drop_candidate,defects_or_damage,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"Compressive behaviours of circular concrete-filled steel tubes exposed to low-temperature environment, Jia-Bao Yan; Tao Wang; Xin Dong, Construction and Building Materials, 2020",25,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Effects of debonding on circular CFST stub columns, Jun-Qing Xue; Bruno Briseghella; Bao-Chun Chen, Journal of Constructional Steel Research, 2012",25,drop_candidate,defects_or_damage,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"Compressive behavior of circular concrete-filled steel tubular columns under freeze-thaw cycles, Shan Gao; Zhen Peng; Lanhui Guo; Feng Fu; Yonggang Wang, Unknown, 2020",24,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Engineering Structures | Post-fire resistance of internally ring stiffened high performance concrete filled steel tube columns | Talha Ekmekyapar, Ihssan A.H. Alhatmey | 2019",24,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"KSCE Journal of Civil Engineering | Axial Compression Tests for Circular Concrete-Filled Steel Tube (CFST) Columns with Notch Imperfection | Mustafa Mohammed, Mustafa Fahmi Hasan, Hasan Fahmi Hasan... | 2024",24,drop_candidate,defects_or_damage,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"Performance degradation of circular thin-walled CFST stub columns in high-latitude offshore region, Shan Gao; Lanhui Guo; Sumei Zhang; Zhen Peng, Thin-Walled Structures, 2020",24,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Analysis of the basic mechanical properties of recycled concrete filled in steel tube after high temperature, Zhao Lei, Unknown, 2013",23,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Compressive behaviours of CFST stub columns at low temperatures relevant to the Arctic environment, Jia-Bao Yan; Xin Dong; Jin-Song Zhu, Unknown, 2019",23,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Journal of Constructional Steel Research | Numerical studies on low-temperature eccentric-compression behaviours of UHPC-filled Q690E high-strength steel tubes | Jia-Bao Yan, Xiao-Xia Yang, Yanli Luo, Jiaxing Ma, Ning Li | 2024",23,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Axial compressive behaviours of square CFST stub columns at low temperatures, Jia-Bao Yan; Xin Dong; Tao Wang, Unknown, 2019",21,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Performance and design of partially CFRP-jacketed circular CFT column under eccentric compression, Qihan Shen; Jingfeng Wang; Qiuyu Xu; Yubo Cui, Journal of Constructional Steel Research, 2020",21,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
"Axial performance degradation of squared CFST stubs in severe cold and acid rain area, Tong Zhang; Xuetao Lyu; Haiqing Liu; Liqiang Zhang; Junfeng Wang; Shan Gao, Construction and Building Materials, 2020",20,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Mechanical behavior of circular and square concrete filled steel tube stub columns under local compression, Fa-xing Ding; Jing Liu; Xue-mei Liu; Zhi-wu Yu; Da-wen Li, Unknown, 2015",20,drop_candidate,local_or_partial_loading,Local or partial loading configuration rather than the usual full-section axial/eccentric compression setup.,,drop,Local or partial loading configuration rather than the usual full-section axial/eccentric compression setup.
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",19,drop_candidate,load_history_or_rate,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading.",,drop,"Non-monotonic or time-history effects such as cyclic loading, repeated loading, impact, creep, preload, or sustained loading."
"Engineering Structures | Experimental study and theoretical prediction of axial compression behavior in PMC-reinforced CFST columns with void defects | Liang Luo, Hang Sun, Mingming Jia... | 2024",18,drop_candidate,defects_or_damage,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion.",,drop,"Defects or damage states such as debonding, notch, gap defects, void defects, imperfections, or local corrosion."
"Journal of Building Structures | Study on eccentric compression performance of ultra-high performance concrete-filled stainless steel tube composite columns in low-temperature environments | YAN Jiabao, WANG Zirui, LUO Yunbiao | 2025",16,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Journal of Constructional Steel Research | Behaviour of UHPC-filled stainless steel tubular stub columns under low-temperature eccentric compression | Yunbiao Luo, Zirui Wang, Jia-Bao Yan | 2025",16,drop_candidate,environmental_exposure,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain.",,drop,"Environmental exposure or degradation not encoded by the dataset features, such as fire/high temperature, low temperature, freeze-thaw, corrosion, seawater, salt spray, or acid rain."
"Study of static performance of axially compressed concrete filled square steel tubular stub columns confined by CFRP, Wang Qingli; Xue Yang; Shao Yongbo; Yan Xu, Unknown, 2011",16,drop_candidate,strengthening_or_repair,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features.",,drop,"External strengthening, repair, jackets, or FRP/CFRP confinement not described by the retained input features."
