Ref.No.,fc (MPa),type (规格备注),试件符号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
[1],18.2,Cyl,1a,302.4,18.2,0,168.8,168.8,2.6,84.4,305.0,0.0,0.0,1326.00
[1],34.7,Cyl,2a,302.4,34.7,0,168.8,168.8,2.6,84.4,305.0,0.0,0.0,1219.00
[1],37.1,Cyl,3a,338.1,37.1,0,169.3,169.3,2.6,84.7,305.0,0.0,0.0,1308.00
[1],34.1,Cyl,4a,338.1,34.1,0,169.3,169.3,2.6,84.7,305.0,0.0,0.0,1330.00
[1],27.0,Cyl,5a,288.4,27.0,0,168.3,168.3,3.6,84.2,305.0,0.0,0.0,1557.00
[1],33.3,Cyl,6a,288.4,33.3,0,168.3,168.3,3.6,84.2,305.0,0.0,0.0,1432.00
[1],33.3,Cyl,6b,288.4,33.3,0,168.3,168.3,3.6,84.2,305.0,0.0,0.0,1463.00
[1],33.4,Cyl,7a,200.2,33.4,0,168.8,168.8,5.0,84.4,305.0,0.0,0.0,1966.00
[1],33.4,Cyl,7b,200.2,33.4,0,168.8,168.8,5.0,84.4,305.0,0.0,0.0,1970.00
[1],27.9,Cyl,8a,200.2,27.9,0,168.8,168.8,5.0,84.4,305.0,0.0,0.0,1984.00
[1],27.9,Cyl,8b,200.2,27.9,0,168.8,168.8,5.0,84.4,305.0,0.0,0.0,1984.00
[1],18.2,Cyl,1,200.2,18.2,0,168.8,168.8,2.6,84.4,1830.0,0.0,0.0,823.00
[1],34.7,Cyl,2,200.2,34.7,0,168.8,168.8,2.6,84.4,1830.0,0.0,0.0,916.00
[1],37.1,Cyl,3,338.1,37.1,0,169.3,169.3,2.6,84.7,1830.0,0.0,0.0,756.00
[1],34.1,Cyl,4,338.1,34.1,0,169.3,169.3,2.6,84.7,1830.0,0.0,0.0,689.00
[1],27.0,Cyl,5,288.4,27.0,0,168.3,168.3,3.6,84.2,2135.0,0.0,0.0,947.00
[1],33.3,Cyl,6,288.4,33.3,0,168.3,168.3,3.6,84.2,2135.0,0.0,0.0,1050.00
[1],33.4,Cyl,7,302.4,33.4,0,168.8,168.8,5.0,84.4,2135.0,0.0,0.0,1130.00
[1],27.8,Cyl,8,302.4,27.8,0,168.8,168.8,5.0,84.4,2135.0,0.0,0.0,1165.00
[3],22.2,Cyl,L-20-1,283.3,22.2,0,178.0,178.0,9.0,89.0,360.0,0.0,0.0,2922.38
[3],22.2,Cyl,L-20-2,283.3,22.2,0,178.0,178.0,9.0,89.0,360.0,0.0,0.0,2853.74
[3],45.4,Cyl,H-20-1,283.3,45.4,0,178.0,178.0,9.0,89.0,360.0,0.0,0.0,3216.58
[3],45.4,Cyl,H-20-2,283.3,45.4,0,178.0,178.0,9.0,89.0,360.0,0.0,0.0,3177.35
[3],22.2,Cyl,L-32-1,248.5,22.2,0,179.0,179.0,5.5,89.5,360.0,0.0,0.0,1814.23
[3],23.9,Cyl,L-32-2,248.5,23.9,0,179.0,179.0,5.5,89.5,360.0,0.0,0.0,1814.23
[3],43.6,Cyl,H-32-1,248.5,43.6,0,179.0,179.0,5.5,89.5,360.0,0.0,0.0,2039.78
[3],43.6,Cyl,H-32-2,248.5,43.6,0,179.0,179.0,5.5,89.5,360.0,0.0,0.0,2029.98
[3],23.9,Cyl,L-58-1,266.0,23.9,0,174.0,174.0,3.0,87.0,360.0,0.0,0.0,1314.09
[3],23.9,Cyl,L-58-2,266.0,23.9,0,174.0,174.0,3.0,87.0,360.0,0.0,0.0,1304.28
[3],45.7,Cyl,H-58-1,266.0,45.7,0,174.0,174.0,3.0,87.0,360.0,0.0,0.0,1608.29
[3],45.7,Cyl,H-58-2,266.0,45.7,0,174.0,174.0,3.0,87.0,360.0,0.0,0.0,1676.94
[4],41.5,Cyl,SB 1,381.5,41.5,0,159.0,159.0,5.1,79.5,477.0,0.0,0.0,2230.00
[4],36.0,Cyl,SB 2,291.4,36.0,0,630.0,630.0,7.0,315.0,1890.0,0.0,0.0,16650.00
[4],35.0,Cyl,SB 6,349.5,35.0,0,630.0,630.0,7.6,315.0,1890.0,0.0,0.0,18000.00
[4],34.5,Cyl,SB 7,350.0,34.5,0,630.0,630.0,8.4,315.0,1890.0,0.0,0.0,18600.00
[4],38.4,Cyl,SB 3,323.3,38.4,0,630.0,630.0,10.2,315.0,1890.0,0.0,0.0,20500.00
[4],46.0,Cyl,SB 4,347.2,46.0,0,630.0,630.0,11.6,315.0,1890.0,0.0,0.0,24400.00
[4],15.0,Cyl,SB 8,312.0,15.0,0,720.0,720.0,8.3,360.0,2160.0,0.0,0.0,15000.00
[4],45.0,Cyl,SB 5,331.0,45.0,0,820.0,820.0,8.9,410.0,2460.0,0.0,0.0,33600.00
[4],16.9,Cyl,SB 9,336.0,16.9,0,1020.0,1020.0,9.6,510.0,3060.0,0.0,0.0,30000.00
[4],28.9,Cyl,SB 10,368.7,28.9,0,1020.0,1020.0,13.3,510.0,3060.0,0.0,0.0,46000.00
[110],33.2,Cyl,1-3Y6,254.4,33.2,0,165.0,165.0,4.5,82.5,660.0,0.0,0.0,1647.00
[110],33.2,Cyl,2-3Y4,271.0,33.2,0,114.0,114.0,4.5,57.0,456.0,0.0,0.0,1033.00
[110],33.2,Cyl,3-3Y3,232.0,33.2,0,88.5,88.5,4.0,44.3,354.0,0.0,0.0,602.00
[110],33.2,Cyl,4-3Y2,223.0,33.2,0,60.0,60.0,3.5,30.0,240.0,0.0,0.0,334.00
[110],33.2,Cyl,5-3Y1.5,304.0,33.2,0,48.0,48.0,3.5,24.0,192.0,0.0,0.0,273.00
[111],17.4,Cyl,No. 2,235.0,17.4,0,131.8,131.8,2.4,65.9,264.0,0.0,0.0,535.00
[111],26.6,Cyl,No. 3,235.0,26.6,0,134.3,134.3,3.1,67.2,264.0,0.0,0.0,681.00
[111],26.6,Cyl,No. 4,235.0,26.6,0,130.6,130.6,4.3,65.3,264.0,0.0,0.0,725.00
[111],26.6,Cyl,No. 5,235.0,26.6,0,132.5,132.5,5.3,66.2,264.0,0.0,0.0,872.00
[111],26.6,Cyl,No. 6,235.0,26.6,0,134.1,134.1,6.2,67.1,264.0,0.0,0.0,1006.00
[66],18.0,Cyl,S3LA,320.0,18.0,0,101.8,101.8,2.9,50.9,200.0,0.0,0.0,628.00
[66],37.4,Cyl,S3HA,320.0,37.4,0,101.8,101.8,2.9,50.9,200.0,0.0,0.0,660.00
[66],18.0,Cyl,S6LA,305.0,18.0,0,101.8,101.8,5.7,50.9,200.0,0.0,0.0,954.00
[66],37.4,Cyl,S6HA,305.0,37.4,0,101.8,101.8,5.7,50.9,200.0,0.0,0.0,971.00
[66],18.0,Cyl,SPLA 1-3Av,244.0,18.0,0,100.0,100.0,0.5,50.0,200.0,0.0,0.0,239.00
[66],37.4,Cyl,SPHA 1-3Av,244.0,37.4,0,100.0,100.0,0.5,50.0,200.0,0.0,0.0,396.00
[5],40.9,Cyl,4-0,358.7,40.9,0,165.2,165.2,4.2,82.6,660.8,0.0,0.0,1594.00
[6],57.0,Cyl,M1a,390.0,57.0,0,76.0,76.0,2.2,38.0,266.0,0.0,0.0,470.00
[6],57.0,Cyl,M2a,390.0,57.0,0,76.0,76.0,2.2,38.0,266.0,0.0,0.0,480.00
[6],57.0,Cyl,M3a,390.0,57.0,0,76.0,76.0,2.2,38.0,266.0,0.0,0.0,420.00
[6],57.0,Cyl,M-FC1,390.0,57.0,0,76.0,76.0,2.2,38.0,266.0,0.0,0.0,465.00
[6],57.0,Cyl,M4a,380.0,57.0,0,101.7,101.7,2.4,50.9,356.0,0.0,0.0,770.00
[6],57.0,Cyl,M5a,380.0,57.0,0,101.7,101.7,2.4,50.9,356.0,0.0,0.0,775.00
[6],57.0,Cyl,M6a,380.0,57.0,0,101.7,101.7,2.4,50.9,356.0,0.0,0.0,740.00
[6],57.0,Cyl,M7a,380.0,57.0,0,101.7,101.7,2.4,50.9,356.0,0.0,0.0,690.00
[6],57.0,Cyl,M-FC2,380.0,57.0,0,101.7,101.7,2.4,50.9,356.0,0.0,0.0,775.00
"[7], [8], [9]",48.3,Cyl,S30CS50B,363.3,48.3,0,165.0,165.0,2.8,82.5,580.5,0.0,0.0,1661.60
"[7], [8], [9]",41.0,Cyl,S20CS50A,256.4,41.0,0,190.0,190.0,1.9,95.0,663.5,0.0,0.0,1678.20
"[7], [8], [9]",48.3,Cyl,S16CS50B,306.1,48.3,0,190.0,190.0,1.5,95.0,664.5,0.0,0.0,1694.80
"[7], [8], [9]",41.0,Cyl,S12CS50A,185.7,41.0,0,190.0,190.0,1.1,95.0,664.5,0.0,0.0,1376.60
"[7], [8], [9]",41.0,Cyl,S10CS50A,210.7,41.0,0,190.0,190.0,0.9,95.0,659.0,0.0,0.0,1349.90
"[7], [8], [9]",80.2,Cyl,S30CS80A,363.3,80.2,0,165.0,165.0,2.8,82.5,580.5,0.0,0.0,2295.00
"[7], [8], [9]",74.7,Cyl,S20CS80B,256.4,74.7,0,190.0,190.0,1.9,95.0,663.5,0.0,0.0,2592.00
"[7], [8], [9]",80.2,Cyl,S16CS80A,306.1,80.2,0,190.0,190.0,1.5,95.0,663.5,0.0,0.0,2602.00
"[7], [8], [9]",80.2,Cyl,S12CS80A,185.7,80.2,0,190.0,190.0,1.1,95.0,662.5,0.0,0.0,2295.00
"[7], [8], [9]",74.7,Cyl,S10CS80B,210.7,74.7,0,190.0,190.0,0.9,95.0,663.5,0.0,0.0,2451.00
