group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
2101,Y,high,3,950.0,2220.0,1270.0,1773.3333,0.716165,2.336842,64.5,Cylinder 150x300,2748,"Mechanical Behavior of Circular Steel-Concrete Composite Stub Columns, Mathias Johansson; Kent Gylltoft, Journal of Structural Engineering, 2002",64.5,Cylinder 150x300,SFC,433,64.5,0,159,159,4.8,79.5,650,0,0,2220
2101,Y,high,3,950.0,2220.0,1270.0,1773.3333,0.716165,2.336842,64.5,Cylinder 150x300,2747,"Mechanical Behavior of Circular Steel-Concrete Composite Stub Columns, Mathias Johansson; Kent Gylltoft, Journal of Structural Engineering, 2002",64.5,Cylinder 150x300,SFE,433,64.5,0,159,159,4.8,79.5,650,0,0,2150
2101,Y,high,3,950.0,2220.0,1270.0,1773.3333,0.716165,2.336842,64.5,Cylinder 150x300,2749,"Mechanical Behavior of Circular Steel-Concrete Composite Stub Columns, Mathias Johansson; Kent Gylltoft, Journal of Structural Engineering, 2002",64.5,Cylinder 150x300,SFS,433,64.5,0,159,159,4.8,79.5,650,0,0,950
1633,Y,high,2,1680.0,3160.0,1480.0,2420.0,0.61157,1.880952,50.5,Cube 150,2115,"Experimental behavior of circular concrete-filled steel tube stub columns, Zhi-wu Yu; Fa-xing Ding; C.S. Cai, Unknown, 2006",50.5,Cube 150,SZ5S4A2,350,42.531,0,219,219,4.74,109.5,650,0,0,3160
1633,Y,high,2,1680.0,3160.0,1480.0,2420.0,0.61157,1.880952,50.5,Cube 150,2120,"Experimental behavior of circular concrete-filled steel tube stub columns, Zhi-wu Yu; Fa-xing Ding; C.S. Cai, Unknown, 2006",50.5,Cube 150,SZ5S4E4,350,42.531,0,219,219,4.74,109.5,650,0,0,1680
1152,Y,high,2,250.0,450.0,200.0,350.0,0.571429,1.8,18.796,prism,1478,"Bias compression bearing capacity research of thin-walled square steel tube composite columns filled with demolished concrete lump, Unknown, Unknown, 2006",18.796,prism,CSS-E50M35-2,215,18.796,35,160,160,2.5,0,1400,50,50,450
1152,Y,high,2,250.0,450.0,200.0,350.0,0.571429,1.8,18.796,prism,1477,"Bias compression bearing capacity research of thin-walled square steel tube composite columns filled with demolished concrete lump, Unknown, Unknown, 2006",18.796,prism,CUS-E50M35-2,215,18.796,35,160,160,2.5,0,1400,50,50,250
1494,Y,high,5,3118.0,5239.0,2121.0,4013.8,0.528427,1.680244,51.6,Cylinder 100x200,1972,"Axial performance of short concrete filled steel tubes with high- and ultra-high- strength materials, Ming-Xiang Xiong; De-Xin Xiong; J.Y. Richard Liew, Engineering Structures, 2017",51.6,Cylinder 100x200,DC4,380,49.309,0,219.1,219.1,5,109.55,600,0,0,5239
1494,Y,high,5,3118.0,5239.0,2121.0,4013.8,0.528427,1.680244,51.6,Cylinder 100x200,1971,"Axial performance of short concrete filled steel tubes with high- and ultra-high- strength materials, Ming-Xiang Xiong; De-Xin Xiong; J.Y. Richard Liew, Engineering Structures, 2017",51.6,Cylinder 100x200,DC3,380,49.309,0,219.1,219.1,5,109.55,600,0,0,4968
1494,Y,high,5,3118.0,5239.0,2121.0,4013.8,0.528427,1.680244,51.6,Cylinder 100x200,1969,"Axial performance of short concrete filled steel tubes with high- and ultra-high- strength materials, Ming-Xiang Xiong; De-Xin Xiong; J.Y. Richard Liew, Engineering Structures, 2017",51.6,Cylinder 100x200,DC1,380,49.309,0,219.1,219.1,5,109.55,600,0,0,3626
1494,Y,high,5,3118.0,5239.0,2121.0,4013.8,0.528427,1.680244,51.6,Cylinder 100x200,1959,"Axial performance of short concrete filled steel tubes with high- and ultra-high- strength materials, Ming-Xiang Xiong; De-Xin Xiong; J.Y. Richard Liew, Engineering Structures, 2017",51.6,Cylinder 100x200,C9,380,49.309,0,219.1,219.1,5,109.55,600,0,0,3118
1494,Y,high,5,3118.0,5239.0,2121.0,4013.8,0.528427,1.680244,51.6,Cylinder 100x200,3663,"Design of Concrete Filled Tubular Beam-columns with High Strength Steel and Concrete, J.Y. Richard Liew; Mingxiang Xiong; Dexin Xiong, Structures, 2016",51.6,Cylinder 100x200,S2-1-2,380,49.309,0,219.1,219.1,5,109.55,600,0,0,3118
3377,Y,high,6,969.0,1684.0,715.0,1381.6667,0.517491,1.737874,34.4,"fck,150",4561,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",34.4,"fck,150",C1-S-1,291.5,34.4,0,219,219,3.8,109.5,3810,0,0,1684
3377,Y,high,6,969.0,1684.0,715.0,1381.6667,0.517491,1.737874,34.4,"fck,150",4558,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",34.4,"fck,150",C1-S-2,291.5,34.4,0,219,219,3.8,109.5,3810,0,0,1619
3377,Y,high,6,969.0,1684.0,715.0,1381.6667,0.517491,1.737874,34.4,"fck,150",4559,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",34.4,"fck,150",C2-S-1,291.5,34.4,0,219,219,3.8,109.5,3810,0,0,1414
3377,Y,high,6,969.0,1684.0,715.0,1381.6667,0.517491,1.737874,34.4,"fck,150",4557,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",34.4,"fck,150",C3-S-2,291.5,34.4,0,219,219,3.8,109.5,3810,0,0,1394
3377,Y,high,6,969.0,1684.0,715.0,1381.6667,0.517491,1.737874,34.4,"fck,150",4562,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",34.4,"fck,150",C2-S-2,291.5,34.4,0,219,219,3.8,109.5,3810,0,0,1210
3377,Y,high,6,969.0,1684.0,715.0,1381.6667,0.517491,1.737874,34.4,"fck,150",4560,"Engineering Structures | A unified formulation for circle and polygon concrete-filled steel tube columns under axial compression | Min Yu, Xiaoxiong Zha, Jianqiao Ye... | 2013",34.4,"fck,150",C3-S-1,291.5,34.4,0,219,219,3.8,109.5,3810,0,0,969
2552,Y,high,4,910.0,1530.0,620.0,1287.5,0.481553,1.681319,56,Cube 150x150x150mm,3462,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,6-SehB-20-4,330,47.666,0,168,168,6,84,500,4,4,1530
2552,Y,high,4,910.0,1530.0,620.0,1287.5,0.481553,1.681319,56,Cube 150x150x150mm,3461,"Unknown, Railway Engineering, 2011",56,Cube 150x150x150mm,5-SehB-20-4,330,47.666,0,168,168,6,84,500,4,4,1510
