Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S2-0,184.7,74.361,0,100,100,2,0,300,0,0,867.3
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S2-50,184.7,74.361,0,100,100,2,0,300,0,0,810.3
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S2-100,184.7,74.361,0,100,100,2,0,300,0,0,753.9
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S2-200,184.7,74.361,0,100,100,2,0,300,0,0,779.1
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S2-300,184.7,74.361,0,100,100,2,0,300,0,0,673
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3-0,176.5,74.361,0,100,100,3,0,300,0,0,891.3
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3-50,176.5,74.361,0,100,100,3,0,300,0,0,818
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3-100,176.5,74.361,0,100,100,3,0,300,0,0,754.7
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3-200,176.5,74.361,0,100,100,3,0,300,0,0,830
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3-300,176.5,74.361,0,100,100,3,0,300,0,0,696.9
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3.9-0,235.1,74.361,0,100,100,3.9,0,300,0,0,1068
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3.9-50,235.1,74.361,0,100,100,3.9,0,300,0,0,1095
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3.9-100,235.1,74.361,0,100,100,3.9,0,300,0,0,1127
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3.9-200,235.1,74.361,0,100,100,3.9,0,300,0,0,1134
"Experimental behavior of CFST stub columns after being exposed to freezing and thawing, You-Fu Yang; Kai Cao; Tian-Zheng Wang, Cold Regions Science and Technology, 2013",83.9,Cube 150,S3.9-300,235.1,74.361,0,100,100,3.9,0,300,0,0,1126
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",20.1,Cube 150,S-1,340,15.32,0,120,120,2.65,0,360,0,0,640
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",20.1,Cube 150,SP-1,340,15.32,0,120,120,2.65,0,360,0,0,664
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",20.1,Cube 150,S-2,340,15.32,0,120,120,2.65,0,360,14,14,533
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",20.1,Cube 150,SP-2,340,15.32,0,120,120,2.65,0,360,14,14,538
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,S-3,340,29.261,0,120,120,2.65,0,360,0,0,816
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,SP-3,340,29.261,0,120,120,2.65,0,360,0,0,812
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,S-4,340,29.261,0,120,120,2.65,0,360,14,14,600
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,SP-4,340,29.261,0,120,120,2.65,0,360,14,14,622
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,SP-5,340,29.261,0,120,120,2.65,0,360,14,14,650
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,SP-6,340,29.261,0,120,120,2.65,0,360,31,31,500
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,L-2,340,29.261,0,120,120,2.65,0,1400,0,0,769
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,LP-2,340,29.261,0,120,120,2.65,0,1400,0,0,730
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,L-1,340,29.261,0,120,120,2.65,0,1400,14,14,590
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,LP-1,340,29.261,0,120,120,2.65,0,1400,14,14,560
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,LP-3,340,29.261,0,120,120,2.65,0,1400,14,14,552
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",36,Cube 150,LP-4,340,29.261,0,120,120,2.65,0,1400,31,31,452
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",30,Cube 150,L-5,340,23.909,0,120,120,2.65,0,1400,31,31,412
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",30,Cube 150,LP-6,340,23.909,0,120,120,2.65,0,1400,31,31,397
"Behaviour of concrete-filled hollow structural steel (HSS) columns with pre-load on the steel tubes, Lin-Hai Han; Guo-Huang Yao, Unknown, 2003",30,Cube 150,LP-7,340,23.909,0,120,120,2.65,0,1400,31,31,390
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc1-1,372.8,50.582,0,160,160,3.83,0,480,0,0,2223
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc2-1,372.8,50.582,0,160,160,3.83,0,480,0,0,2160
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc2-2,372.8,50.582,0,160,160,3.83,0,480,0,0,2042
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc3-1,372.8,50.582,0,160,160,3.83,0,480,0,0,2022
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc4-1,372.8,50.582,0,160,160,3.83,0,480,0,0,1827
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc4-2,372.8,50.582,0,160,160,3.83,0,480,0,0,1885
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc5-1,372.8,50.582,0,160,160,3.83,0,480,0,0,1500
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc5-2,372.8,50.582,0,160,160,3.83,0,480,0,0,1581
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc6-1-h,372.8,50.582,0,160,160,3.83,0,480,0,0,2280
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc7-1-h,372.8,50.582,0,160,160,3.83,0,480,0,0,1842
"Square concrete filled steel tubular (CFST) members under loading and chloride corrosion: Experiments, Lin-Hai Han; Chao Hou; Qing-Li Wang, Journal of Constructional Steel Research, 2012",59.1,cube,sc7-2-h,372.8,50.582,0,160,160,3.83,0,480,0,0,1968
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",31.3,cylinder,t4T20-1,928,31.3,0,150,150,4.1,0,450,0,0,3151
"Low-temperature compression behaviour of square CFST columns using Q960 ultra-high strength steel, Jia-Bao Yan; Yan-Li Luo; Lingfeng Su; Xuchuan Lin; Yun-Biao Luo; Lingxin Zhang, Journal of Constructional Steel Research, 2021",31.3,cylinder,t4T20-2,928,31.3,0,150,150,4.1,0,450,0,0,3215
