Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",52.6,cube,N-I,571.2,44.486,0,240,240,3,0,720,0,0,4196.9
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",52.6,cube,SL-I,571.2,44.486,0,240,240,3,0,720,0,0,4204.9
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",52.6,cube,DL-I,571.2,44.486,0,240,240,3,0,720,0,0,4969.7
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",52.6,cube,TL-I,571.2,44.486,0,240,240,3,0,720,0,0,5216.4
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",52.6,cube,BL-I,571.2,44.486,0,240,240,3,0,720,0,0,5390.6
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",52.6,cube,S8-I,571.2,44.486,0,240,240,3,0,720,0,0,4464.4
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",52.6,cube,S10-I,571.2,44.486,0,240,240,3,0,720,0,0,3659.7
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",61,cube,N-II,648.9,52.375,0,240,240,3,0,720,0,0,4891
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",61,cube,SL-II,648.9,52.375,0,240,240,3,0,720,0,0,4955.7
"Axial Compression Behavior of the Stiffened Concrete-Filled Thin-Walled High-Strength Square Steel Tube Stub Columns, YANG Youfu; GUO Hongxin, Journal of South China University of Technology (Natural Science Edition), 2021",61,cube,DL-II,648.9,52.375,0,240,240,3,0,720,0,0,4277.4
