Ref.No.,fco (MPa),type,Specimen,fy (MPa),fcy150 (MPa),R (%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN),Group,Notes
"Q.-X. Ren, L.-H. Han, D. Lam, and C. Hou, ""Experiments on special-shaped CFST stub columns under axial compression,"" Journal of Constructional Steel Research, 2014.",61.4,Cube 150,cc1-1,389.3,52.75380304135601,0,164.885,164.885,2.92,82.4425,595,0,0,1904,B,
"Q.-X. Ren, L.-H. Han, D. Lam, and C. Hou, ""Experiments on special-shaped CFST stub columns under axial compression,"" Journal of Constructional Steel Research, 2014.",61.4,Cube 150,cc1-2,389.3,52.75380304135601,0,164.885,164.885,2.92,82.4425,595,0,0,1984,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-47,265,24.272331541041478,0,151,151,3.2,75.5,620,0,0,1129,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-47a,265,24.272331541041478,0,150,150,3.2,75.0,620,0,0,1123,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-62,265,24.272331541041478,0,199,199,3.2,99.5,835,0,0,1535,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-62a,265,24.272331541041478,0,198,198,3.2,99.0,835,0,0,1560,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-78,265,24.272331541041478,0,251,251,3.2,125.5,1050,0,0,2033,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-78a,265,24.272331541041478,0,300,300,3.2,150.0,1250,0,0,2012,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-94,265,24.272331541041478,0,350,350,3.2,175.0,1468,0,0,3000,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-109,265,24.272331541041478,0,401,401,3.2,200.5,1680,0,0,3680,B,
"Y. Bong Kwon, S. Jung Seo, and D. Won Kang, “Prediction of the squash loads of concrete-filled tubular section columns with local buckling,” Thin-Walled Structures, vol. 49, no. 1, pp. 85–93, Jan. 2011, doi: 10.1016/j.tws.2010.08.009.",25.4,Cyl 100,UC-125,265,24.272331541041478,0,450,450,3.2,225.0,1888,0,0,4540,B,
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",38,Cylinder 150x300,30S-1,485,38.0,0,200,200,6,10.5,695,0,0,3488,A,带圆角矩形
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",38,Cylinder 150x300,30S-2,485,38.0,0,200,200,6,10.5,695,0,0,3452,A,带圆角矩形
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",80.5,Cylinder 150x300,50S-1,485,80.5,0,200,200,6,10.5,695,0,0,4921,A,带圆角矩形
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",80.5,Cylinder 150x300,50S-2,485,80.5,0,200,200,6,10.5,695,0,0,4973,A,带圆角矩形
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",112.1,Cylinder 150x300,80S-1,485,112.1,0,200,200,6,10.5,695,0,0,6060,A,带圆角矩形
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",112.1,Cylinder 150x300,80S-2,485,112.1,0,200,200,6,10.5,695,0,0,6298,A,带圆角矩形
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",112.1,Cylinder 150x300,80S-3,485,112.1,0,200,200,6,10.5,695,0,0,6218,A,带圆角矩形
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",38,Cylinder 150x300,30C-1,451,38.0,0,200,200,6,100.0,695,0,0,3503,B,
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",38,Cylinder 150x300,30C-2,451,38.0,0,200,200,6,100.0,695,0,0,3519,B,
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",80.5,Cylinder 150x300,50C-1,451,80.5,0,200,200,6,100.0,695,0,0,4463,B,
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",80.5,Cylinder 150x300,50C-2,451,80.5,0,200,200,6,100.0,695,0,0,4423,B,
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",112.1,Cylinder 150x300,80C-1,451,112.1,0,200,200,6,100.0,695,0,0,5071,B,
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",112.1,Cylinder 150x300,80C-2,451,112.1,0,200,200,6,100.0,695,0,0,5040,B,
"J.-Y. Zhu and T.-M. Chan, ""Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,"" Journal of Constructional Steel Research, 2018.",112.1,Cylinder 150x300,80C-3,451,112.1,0,200,200,6,100.0,695,0,0,5099,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",28,Cylinder 100x200,400-24-31WL-1,374.2,26.75690091138431,0,140,140,4.5,70.0,420,0,0,1275.3,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",28,Cylinder 100x200,400-24-31WL-2,374.2,26.75690091138431,0,140,140,4.5,70.0,420,0,0,1294.5,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",39,Cylinder 100x200,400-36-31WL-1,374.2,37.26854055514243,0,140,140,4.5,70.0,420,0,0,1406.4,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",39,Cylinder 100x200,400-36-31WL-2,374.2,37.26854055514243,0,140,140,4.5,70.0,420,0,0,1405,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",52,Cylinder 100x200,400-48-31WL-1,374.2,49.69138740685657,0,140,140,4.5,70.0,420,0,0,1524.3,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",52,Cylinder 100x200,400-48-31WL-2,374.2,49.69138740685657,0,140,140,4.5,70.0,420,0,0,1530.4,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",28,Cylinder 100x200,490-24-31WL-1,462.9,26.75690091138431,0,140,140,4.5,70.0,420,0,0,1646.7,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",28,Cylinder 100x200,490-24-31WL-2,462.9,26.75690091138431,0,140,140,4.5,70.0,420,0,0,1662.3,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",39,Cylinder 100x200,490-36-31WL-1,462.9,37.26854055514243,0,140,140,4.5,70.0,420,0,0,1763.9,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",39,Cylinder 100x200,490-36-31WL-2,462.9,37.26854055514243,0,140,140,4.5,70.0,420,0,0,1753.8,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",52,Cylinder 100x200,490-48-31WL-1,462.9,49.69138740685657,0,140,140,4.5,70.0,420,0,0,1865.2,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",52,Cylinder 100x200,490-48-31WL-2,462.9,49.69138740685657,0,140,140,4.5,70.0,420,0,0,1871.6,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",41,Cylinder 100x200,400-36-26WL-1,381.1,39.179747763098455,0,216.3,216.3,8.2,108.15,648.9,0,0,3788.4,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",41,Cylinder 100x200,400-36-26WL-2,381.1,39.179747763098455,0,216.3,216.3,8.2,108.15,648.9,0,0,3800.3,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",41,Cylinder 100x200,400-36-36WL-1,382.5,39.179747763098455,0,190.7,190.7,5.3,95.35,572.1,0,0,2530.3,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",41,Cylinder 100x200,400-36-36WL-2,382.5,39.179747763098455,0,190.7,190.7,5.3,95.35,572.1,0,0,2544.8,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",41,Cylinder 100x200,400-36-48WL-1,371.9,39.179747763098455,0,216.3,216.3,4.5,108.15,648.9,0,0,2740.4,B,
"S. Lin, Y.-G. Zhao, and L. He, ""Stress paths of confined concrete in axially loaded circular concrete-filled steel tube stub columns,"" Engineering Structures, 2018.",41,Cylinder 100x200,400-36-48WL-2,371.9,39.179747763098455,0,216.3,216.3,4.5,108.15,648.9,0,0,2751.2,B,
"陶涛, 张大长, 孙波, 李布辉, ""Q460 高强钢管自密实混凝土短柱轴压力学性能,"" 土木工程与管理学报, 2016.",30,Cube 150,YGZ-30-1,496.4,23.909191100179118,0,168,168,6,84.0,672,0,0,3096,B,
"陶涛, 张大长, 孙波, 李布辉, ""Q460 高强钢管自密实混凝土短柱轴压力学性能,"" 土木工程与管理学报, 2016.",30,Cube 150,YGZ-30-2,496.4,23.909191100179118,0,219,219,6,109.5,876,0,0,4200,B,
"陶涛, 张大长, 孙波, 李布辉, ""Q460 高强钢管自密实混凝土短柱轴压力学性能,"" 土木工程与管理学报, 2016.",40,Cube 150,YGZ-40-1,496.4,32.878431359771895,0,168,168,6,84.0,672,0,0,3346,B,
