b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN)
164.885,164.885,82.442,2.92,0.0,389.3,52.75380304135601,595,0.0,0.0,1904.0
164.885,164.885,82.442,2.92,0.0,389.3,52.75380304135601,595,0.0,0.0,1984.0
151.0,151.0,75.5,3.2,0.0,265.0,24.27233154104148,620,0.0,0.0,1129.0
150.0,150.0,75.0,3.2,0.0,265.0,24.27233154104148,620,0.0,0.0,1123.0
199.0,199.0,99.5,3.2,0.0,265.0,24.27233154104148,835,0.0,0.0,1535.0
198.0,198.0,99.0,3.2,0.0,265.0,24.27233154104148,835,0.0,0.0,1560.0
251.0,251.0,125.5,3.2,0.0,265.0,24.27233154104148,1050,0.0,0.0,2033.0
300.0,300.0,150.0,3.2,0.0,265.0,24.27233154104148,1250,0.0,0.0,2012.0
350.0,350.0,175.0,3.2,0.0,265.0,24.27233154104148,1468,0.0,0.0,3000.0
401.0,401.0,200.5,3.2,0.0,265.0,24.27233154104148,1680,0.0,0.0,3680.0
450.0,450.0,225.0,3.2,0.0,265.0,24.27233154104148,1888,0.0,0.0,4540.0
200.0,200.0,10.5,6.0,0.0,485.0,38.0,695,0.0,0.0,3488.0
200.0,200.0,10.5,6.0,0.0,485.0,38.0,695,0.0,0.0,3452.0
200.0,200.0,10.5,6.0,0.0,485.0,80.5,695,0.0,0.0,4921.0
200.0,200.0,10.5,6.0,0.0,485.0,80.5,695,0.0,0.0,4973.0
200.0,200.0,10.5,6.0,0.0,485.0,112.1,695,0.0,0.0,6060.0
200.0,200.0,10.5,6.0,0.0,485.0,112.1,695,0.0,0.0,6298.0
200.0,200.0,10.5,6.0,0.0,485.0,112.1,695,0.0,0.0,6218.0
200.0,200.0,100.0,6.0,0.0,451.0,38.0,695,0.0,0.0,3503.0
200.0,200.0,100.0,6.0,0.0,451.0,38.0,695,0.0,0.0,3519.0
200.0,200.0,100.0,6.0,0.0,451.0,80.5,695,0.0,0.0,4463.0
200.0,200.0,100.0,6.0,0.0,451.0,80.5,695,0.0,0.0,4423.0
200.0,200.0,100.0,6.0,0.0,451.0,112.1,695,0.0,0.0,5071.0
200.0,200.0,100.0,6.0,0.0,451.0,112.1,695,0.0,0.0,5040.0
200.0,200.0,100.0,6.0,0.0,451.0,112.1,695,0.0,0.0,5099.0
140.0,140.0,70.0,4.5,0.0,374.2,26.75690091138431,420,0.0,0.0,1275.3
140.0,140.0,70.0,4.5,0.0,374.2,26.75690091138431,420,0.0,0.0,1294.5
140.0,140.0,70.0,4.5,0.0,374.2,37.26854055514243,420,0.0,0.0,1406.4
140.0,140.0,70.0,4.5,0.0,374.2,37.26854055514243,420,0.0,0.0,1405.0
140.0,140.0,70.0,4.5,0.0,374.2,49.69138740685657,420,0.0,0.0,1524.3
140.0,140.0,70.0,4.5,0.0,374.2,49.69138740685657,420,0.0,0.0,1530.4
140.0,140.0,70.0,4.5,0.0,462.9,26.75690091138431,420,0.0,0.0,1646.7
140.0,140.0,70.0,4.5,0.0,462.9,26.75690091138431,420,0.0,0.0,1662.3
140.0,140.0,70.0,4.5,0.0,462.9,37.26854055514243,420,0.0,0.0,1763.9
140.0,140.0,70.0,4.5,0.0,462.9,37.26854055514243,420,0.0,0.0,1753.8
140.0,140.0,70.0,4.5,0.0,462.9,49.69138740685657,420,0.0,0.0,1865.2
140.0,140.0,70.0,4.5,0.0,462.9,49.69138740685657,420,0.0,0.0,1871.6
216.3,216.3,108.15,8.2,0.0,381.1,39.179747763098455,648.9,0.0,0.0,3788.4
216.3,216.3,108.15,8.2,0.0,381.1,39.179747763098455,648.9,0.0,0.0,3800.3
190.7,190.7,95.35,5.3,0.0,382.5,39.179747763098455,572.1,0.0,0.0,2530.3
190.7,190.7,95.35,5.3,0.0,382.5,39.179747763098455,572.1,0.0,0.0,2544.8
216.3,216.3,108.15,4.5,0.0,371.9,39.179747763098455,648.9,0.0,0.0,2740.4
216.3,216.3,108.15,4.5,0.0,371.9,39.179747763098455,648.9,0.0,0.0,2751.2
168.0,168.0,84.0,6.0,0.0,496.4,23.90919110017912,672,0.0,0.0,3096.0
219.0,219.0,109.5,6.0,0.0,496.4,23.90919110017912,876,0.0,0.0,4200.0
168.0,168.0,84.0,6.0,0.0,496.4,32.878431359771895,672,0.0,0.0,3346.0
219.0,219.0,109.5,6.0,0.0,496.4,32.878431359771895,876,0.0,0.0,4400.0
168.0,168.0,84.0,6.0,0.0,496.4,42.06713932979543,672,0.0,0.0,3450.0
219.0,219.0,109.5,6.0,0.0,496.4,42.06713932979543,876,0.0,0.0,4700.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,378,0.0,0.0,1535.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,378,0.0,0.0,1578.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,378,0.0,0.0,1518.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,756,0.0,0.0,1286.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,756,0.0,0.0,1280.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,1188,0.0,0.0,1194.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,1188,0.0,0.0,1232.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,1620,0.0,0.0,974.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,1620,0.0,0.0,1018.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,0.0,0.0,2273.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,0.0,0.0,2158.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,0.0,0.0,2253.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,13.3,13.3,1540.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,13.3,13.3,1593.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,26.6,26.6,1173.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,26.6,26.6,1167.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,39.9,39.9,1001.0
133.0,133.0,66.5,4.7,0.0,352.0,92.8687217570183,465,39.9,39.9,990.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,756,13.3,13.3,889.0
108.0,108.0,54.0,4.5,0.0,358.0,84.86468788657872,1620,13.3,13.3,682.0
87.38,87.38,0.0,2.5,0.0,250.0,27.59,750,0.0,0.0,450.0
87.38,87.38,0.0,2.5,0.0,250.0,27.59,750,0.0,0.0,450.0
87.38,87.38,0.0,2.5,0.0,250.0,27.59,750,0.0,0.0,450.0
125.66,125.66,0.0,2.5,0.0,250.0,27.59,750,0.0,0.0,594.0
125.66,125.66,0.0,2.5,0.0,250.0,27.59,750,0.0,0.0,594.0
125.66,125.66,0.0,2.5,0.0,250.0,27.59,750,0.0,0.0,594.0
111.25,111.25,55.625,2.5,0.0,250.0,27.59,750,0.0,0.0,526.0
111.25,111.25,55.625,2.5,0.0,250.0,27.59,750,0.0,0.0,526.0
111.25,111.25,55.625,2.5,0.0,250.0,27.59,750,0.0,0.0,526.0
160.0,160.0,80.0,2.5,0.0,250.0,27.59,750,0.0,0.0,1153.0
160.0,160.0,80.0,2.5,0.0,250.0,27.59,750,0.0,0.0,1153.0
160.0,160.0,80.0,2.5,0.0,250.0,27.59,750,0.0,0.0,1153.0
60.0,60.0,30.0,1.87,0.0,282.0,75.62664723891022,180,0.0,0.0,312.0
60.0,60.0,30.0,1.87,0.0,282.0,75.62664723891022,180,0.0,0.0,320.0
100.0,100.0,50.0,1.87,0.0,282.0,75.62664723891022,300,0.0,0.0,822.0
100.0,100.0,50.0,1.87,0.0,282.0,75.62664723891022,300,0.0,0.0,845.0
150.0,150.0,75.0,1.87,0.0,282.0,75.62664723891022,450,0.0,0.0,1701.0
